policy_id,customer_id,policy_type,premium_amount,sum_assured,start_date,end_date,status
POL0000627,CUST000805,Vehicle Insurance,92188,841944,2024-03-09,2025-03-09,Active
POL0000628,CUST000609,Accident Insurance,41739,6614435,2020-04-27,2025-04-26,Active
POL0000629,CUST000967,Accident Insurance,74480,3835399,2024-03-27,2027-03-27,Active
POL0000630,CUST000047,Health Insurance,106308,7283883,2019-06-14,2021-06-13,Expired
POL0000631,CUST000482,Travel Insurance,35660,8157939,2022-12-25,2024-12-24,Active
POL0000632,CUST000843,Health Insurance,67831,5371647,2021-11-20,2023-11-20,Expired
POL0000633,CUST000502,Travel Insurance,36407,2681898,2020-08-02,2021-08-02,Expired
POL0000634,CUST000811,Health Insurance,76976,5485117,2021-04-08,2023-04-08,Active
POL0000635,CUST000548,Health Insurance,21500,4442876,2021-10-15,2022-10-15,Active
POL0000636,CUST000733,Health Insurance,51712,1948855,2024-09-08,2027-09-08,Cancelled
POL0000637,CUST000349,Vehicle Insurance,6163,4881402,2019-01-02,2020-01-02,Active
POL0000638,CUST000003,Life Insurance,103532,8257554,2018-07-01,2021-06-30,Expired
POL0000639,CUST000236,Health Insurance,4274,1964604,2025-01-14,2028-01-14,Expired
POL0000640,CUST000139,Travel Insurance,114391,7924619,2025-10-12,2027-10-12,Active
POL0000641,CUST000347,Health Insurance,74114,7113071,2021-04-25,2024-04-24,Expired
POL0000642,CUST000836,Life Insurance,99162,4223061,2020-01-31,2022-01-30,Expired
POL0000643,CUST000759,Life Insurance,7565,5146495,2018-03-14,2021-03-13,Active
POL0000644,CUST000173,Travel Insurance,107434,1637478,2020-01-24,2025-01-22,Active
POL0000645,CUST000882,Life Insurance,81126,1586310,2026-01-05,2028-01-05,Expired
POL0000646,CUST000377,Vehicle Insurance,103693,2088566,2024-12-02,2029-12-01,Active
POL0000647,CUST000176,Travel Insurance,80312,3382397,2026-03-21,2028-03-20,Lapsed
POL0000648,CUST000869,Accident Insurance,66125,6338460,2024-12-28,2026-12-28,Active
POL0000649,CUST000052,Accident Insurance,6732,7078408,2022-12-09,2024-12-08,Active
POL0000650,CUST000212,Travel Insurance,58424,2123151,2024-09-25,2027-09-25,Active
POL0000651,CUST000358,Life Insurance,32345,2784481,2019-06-05,2024-06-03,Active
POL0000652,CUST000126,Travel Insurance,109413,8856462,2023-12-06,2025-12-05,Active
POL0000653,CUST000264,Health Insurance,67834,878085,2025-04-12,2030-04-11,Active
POL0000654,CUST000905,Health Insurance,114752,2791662,2019-04-22,2021-04-21,Active
POL0000655,CUST000759,Life Insurance,61419,1300666,2020-10-29,2021-10-29,Active
POL0000656,CUST000990,Life Insurance,47695,9579662,2021-06-15,2026-06-14,Active
POL0000657,CUST000199,Travel Insurance,58619,3322667,2023-02-17,2024-02-17,Active
POL0000658,CUST000175,Life Insurance,110589,170147,2023-12-14,2028-12-12,Cancelled
POL0000659,CUST000191,Travel Insurance,11593,779272,2022-03-22,2023-03-22,Active
POL0000660,CUST000748,Accident Insurance,46478,3858907,2019-06-30,2024-06-28,Active
POL0000661,CUST000217,Travel Insurance,65171,999209,2020-04-02,2022-04-02,Active
POL0000662,CUST000705,Travel Insurance,89462,2572796,2025-11-19,2030-11-18,Lapsed
POL0000663,CUST000491,Vehicle Insurance,71841,8159827,2026-04-12,2027-04-12,Active
POL0000664,CUST000295,Vehicle Insurance,88032,6768555,2020-04-20,2021-04-20,Active
POL0000665,CUST000715,Travel Insurance,88924,7246839,2020-08-13,2022-08-13,Lapsed
POL0000666,CUST000048,Health Insurance,7431,7659567,2024-05-10,2027-05-10,Active
POL0000667,CUST000613,Life Insurance,45400,4882705,2020-08-17,2022-08-17,Active
POL0000668,CUST000930,Accident Insurance,13299,8838358,2022-03-28,2025-03-27,Lapsed
POL0000669,CUST000766,Travel Insurance,77711,9991930,2021-08-29,2022-08-29,Lapsed
POL0000670,CUST000577,Life Insurance,105728,6837613,2020-12-08,2025-12-07,Active
POL0000671,CUST000610,Life Insurance,51714,3358948,2018-02-25,2020-02-25,Expired
POL0000672,CUST000225,Accident Insurance,33180,8437904,2018-07-24,2023-07-23,Active
POL0000673,CUST000591,Accident Insurance,102800,6328805,2023-04-19,2028-04-17,Active
POL0000674,CUST000744,Travel Insurance,109372,1515472,2018-06-06,2019-06-06,Active
POL0000675,CUST000675,Life Insurance,58742,2798966,2022-05-16,2027-05-15,Active
POL0000676,CUST000904,Health Insurance,73005,7713647,2018-02-15,2023-02-14,Lapsed
POL0000677,CUST000731,Health Insurance,58463,4957020,2021-05-01,2026-04-30,Active
POL0000678,CUST000486,Travel Insurance,41931,4214446,2022-02-27,2023-02-27,Expired
POL0000679,CUST000523,Accident Insurance,7446,4042588,2026-03-08,2027-03-08,Expired
POL0000680,CUST000249,Health Insurance,32211,7699417,2023-04-10,2026-04-09,Active
POL0000681,CUST000077,Health Insurance,27282,7011025,2021-08-24,2026-08-23,Expired
POL0000682,CUST000910,Vehicle Insurance,95498,133182,2019-09-30,2024-09-28,Active
POL0000683,CUST000667,Accident Insurance,40769,5424425,2019-10-04,2022-10-03,Active
POL0000684,CUST000823,Vehicle Insurance,50910,851524,2018-11-08,2023-11-07,Active
POL0000685,CUST000842,Health Insurance,67296,790186,2024-05-11,2026-05-11,Active
POL0000686,CUST000276,Travel Insurance,85474,225225,2020-05-31,2025-05-30,Active
POL0000687,CUST000927,Vehicle Insurance,35289,8021876,2025-05-17,2030-05-16,Active
POL0000688,CUST000432,Travel Insurance,72928,9594115,2025-09-10,2027-09-10,Expired
POL0000689,CUST000931,Vehicle Insurance,80304,2846016,2023-06-14,2024-06-13,Active
POL0000690,CUST000687,Travel Insurance,77090,454470,2021-10-05,2023-10-05,Expired
POL0000691,CUST000216,Life Insurance,110675,8572998,2018-08-04,2019-08-04,Lapsed
POL0000692,CUST000625,Vehicle Insurance,47761,2539479,2025-08-20,2028-08-19,Active
POL0000693,CUST000286,Health Insurance,80385,5567433,2019-05-11,2022-05-10,Active
POL0000694,CUST000649,Vehicle Insurance,58260,1253252,2018-05-20,2021-05-19,Active
POL0000695,CUST000835,Vehicle Insurance,82681,2982153,2025-01-12,2028-01-12,Active
POL0000696,CUST000136,Accident Insurance,36182,2169642,2020-04-27,2022-04-27,Active
POL0000697,CUST000527,Vehicle Insurance,32899,1978238,2021-06-09,2026-06-08,Active
POL0000698,CUST000102,Accident Insurance,34406,8762295,2024-05-24,2029-05-23,Active
POL0000699,CUST000731,Vehicle Insurance,119215,2630289,2024-11-09,2025-11-09,Expired
POL0000700,CUST000482,Health Insurance,20510,2763760,2025-10-06,2028-10-05,Active
